0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
1539,S,EOaMLnbtsRlcProf1TProhib,,,4,1,0,4,6,56,0,0,0,0,1,0,0,""
1596,S,EOaMLnbtsRlcProf1TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
1628,S,EOaMLnbtsRlcProf1TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
1660,S,SOaMRlcProf1,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
1670,S,EOaMLnbtsRlcProf2MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
1680,S,EOaMLnbtsRlcProf2PollPdu,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1689,S,TOaMLnbtsRlcProf2RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1690,S,EOaMLnbtsRlcProf2TPollRetr,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1746,S,SOaMLnbtsRlcProf2TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1749,S,EOaMLnbtsRlcProf2TPollRetrDl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1805,S,SOaMLnbtsRlcProf2TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1808,S,EOaMLnbtsRlcProf2TPollRetrUl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
1864,S,SOaMLnbtsRlcProf2TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
1867,S,EOaMLnbtsRlcProf2TProhib,,,4,1,0,4,6,56,0,0,0,0,1,0,0,""
1924,S,EOaMLnbtsRlcProf2TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
1956,S,EOaMLnbtsRlcProf2TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
1988,S,SOaMRlcProf2,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
1998,S,EOaMLnbtsRlcProf3MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
2008,S,EOaMLnbtsRlcProf3PollPdu,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
2017,S,TOaMLnbtsRlcProf3RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
2018,S,EOaMLnbtsRlcProf3TPollRetr,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2074,S,SOaMLnbtsRlcProf3TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2077,S,EOaMLnbtsRlcProf3TPollRetrDl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2133,S,SOaMLnbtsRlcProf3TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2136,S,EOaMLnbtsRlcProf3TPollRetrUl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2192,S,SOaMLnbtsRlcProf3TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2195,S,EOaMLnbtsRlcProf3TProhib,,,4,1,0,4,6,56,0,0,0,0,1,0,0,""
2252,S,EOaMLnbtsRlcProf3TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2284,S,EOaMLnbtsRlcProf3TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2316,S,SOaMRlcProf3,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
2326,S,EOaMLnbtsRlcProf4MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
2336,S,EOaMLnbtsRlcProf4PollPdu,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
2345,S,TOaMLnbtsRlcProf4RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
2346,S,EOaMLnbtsRlcProf4TPollRetr,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2402,S,SOaMLnbtsRlcProf4TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2405,S,EOaMLnbtsRlcProf4TPollRetrDl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2461,S,SOaMLnbtsRlcProf4TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2464,S,EOaMLnbtsRlcProf4TPollRetrUl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2520,S,SOaMLnbtsRlcProf4TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2523,S,EOaMLnbtsRlcProf4TProhib,,,4,1,0,4,6,56,0,0,0,0,1,0,0,""
2580,S,EOaMLnbtsRlcProf4TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2612,S,EOaMLnbtsRlcProf4TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2644,S,SOaMRlcProf4,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
2654,S,EOaMLnbtsRlcProf5MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
2664,S,EOaMLnbtsRlcProf5PollPdu,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
2673,S,TOaMLnbtsRlcProf5RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
2674,S,EOaMLnbtsRlcProf5TPollRetr,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2730,S,SOaMLnbtsRlcProf5TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2733,S,EOaMLnbtsRlcProf5TPollRetrDl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2789,S,SOaMLnbtsRlcProf5TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2792,S,EOaMLnbtsRlcProf5TPollRetrUl,,,4,1,0,4,6,55,0,0,0,0,1,0,0,""
2848,S,SOaMLnbtsRlcProf5TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
2851,S,EOaMLnbtsRlcProf5TProhib,,,4,1,0,4,6,56,0,0,0,0,1,0,0,""
2908,S,EOaMLnbtsRlcProf5TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2940,S,EOaMLnbtsRlcProf5TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
2972,S,SOaMRlcProf5,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
2982,S,EOaMLnbtsRlcProf6MaxRetxThresh,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
2992,S,EOaMLnbtsRlcProf6PollPdu,,,4,1,0,4,9,9,0,0,0,0,1,0,0,""
3002,S,TOaMLnbtsRlcProf6RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
3003,S,EOaMLnbtsRlcProf6TPollRetr,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3060,S,SOaMLnbtsRlcProf6TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3063,S,EOaMLnbtsRlcProf6TPollRetrDl,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3120,S,SOaMLnbtsRlcProf6TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3123,S,EOaMLnbtsRlcProf6TPollRetrUl,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3180,S,SOaMLnbtsRlcProf6TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3183,S,EOaMLnbtsRlcProf6TProhib,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3240,S,EOaMLnbtsRlcProf6TReord,,,4,1,0,4,8,29,0,0,0,0,1,0,0,""
3270,S,EOaMLnbtsRlcProf6TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
3302,S,SOaMRlcProf6,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
3312,S,EOaMLnbtsMaxRetxThreNB,,,4,1,0,4,6,9,0,0,0,0,1,0,0,""
3322,S,EOaMLnbtsRlcProf7PollPdu,,,4,1,0,4,9,9,0,0,0,0,1,0,0,""
3332,S,TOaMLnbtsRlcProf7RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
3333,S,EOaMLnbtsRlcProf7TPollRetr,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3390,S,SOaMLnbtsRlcProf7TPollRetr,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3393,S,EOaMLnbtsRlcProf7TPollRetrDl,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3450,S,SOaMLnbtsRlcProf7TPollRetrDl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3453,S,EOaMLnbtsRlcProf7TPollRetrUl,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3510,S,SOaMLnbtsRlcProf7TPollRetrUl,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
3513,S,EOaMLnbtsRlcProf7TProhib,,,4,1,0,4,9,56,0,0,0,0,1,0,0,""
3570,S,EOaMLnbtsRlcProf7TReord,,,4,1,0,4,8,29,0,0,0,0,1,0,0,""
3600,S,EOaMLnbtsRlcProf7TReordIsca,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
3632,S,SOaMRlcProf7,,,17,0,0,48,0,9,9,0,0,0,1,0,0,""
3642,S,SContainerOfOaMRlcProf7,,,17,0,0,52,0,2,2,0,0,0,1,0,0,""
3645,S,TOaMLnbtsRlcProf101RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
3646,S,EOaMLnbtsRlcProf101SnFieldLengthDL,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
