0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
809,F,SDcmCellPoolContainer,frameConfTdd,SFrameConfTdd,17,0,1788,8,0,2,0,0,0,1,1,0,782,""
810,F,SDcmCellPoolContainer,flagSSCheck,TBooleanDcm,2,0,1796,2,0,0,0,0,0,1,1,0,773,""
811,F,SDcmCellPoolContainer,freqCell,TFrequencyU16,2,0,1798,2,0,0,0,0,0,1,1,0,785,""
813,F,UInnerUWmpDcmCaParamsContainer,wmpCellInfoContainer,SWmpCellInfoContainer,17,0,0,1092,0,6,0,0,0,1,1,0,589,""
814,F,UInnerUWmpDcmCaParamsContainer,dcmCellPoolContainer,SDcmCellPoolContainer,17,0,0,1800,0,22,0,0,0,1,1,0,786,""
816,F,UWmpDcmCaParamsContainer,discriminator,EDiscUWmpDcmCaParamsContainer,4,1,0,4,0,2,0,1,0,1,1,0,505,""
817,F,UWmpDcmCaParamsContainer,u,UInnerUWmpDcmCaParamsContainer,18,0,4,1800,0,2,0,0,0,1,1,0,812,""
819,F,SPuschReceiverAddressPoolInfo,poolId,TPoolId,4,0,0,4,0,0,0,0,0,1,1,0,428,""
820,F,SPuschReceiverAddressPoolInfo,puschReceiverAddress,TAaSysComSicad,4,0,4,4,0,0,0,0,0,1,1,0,504,""
822,F,SFNUlPhyAddress,sfnSubCellId,,4,0,0,4,0,0,0,0,0,1,0,0,0,""
823,F,SFNUlPhyAddress,puschReceiverAddress,TAaSysComSicad,4,0,4,4,0,0,0,0,0,1,1,0,504,""
824,F,SFNUlPhyAddress,receiverEventQueueId,,4,0,8,4,0,0,0,0,0,1,0,0,0,""
859,F,STracingCtrlStopSubscriberReqSession,handle,TTraceHandle,4,0,0,4,0,0,0,0,0,1,1,0,856,""
860,F,STracingCtrlStopSubscriberReqSession,eutranTraceId,,14,0,4,8,0,8,0,0,0,1,1,0,0,""
861,F,STracingCtrlStopSubscriberReqSession,eutranTraceId,,0,0,0,1,0,0,0,0,0,2,0,0,0,""
862,F,STracingCtrlStopSubscriberReqSession,protocols,TTraceSessionProtocol,4,0,12,4,0,0,0,0,0,1,1,0,857,""
891,F,STransportLayerAddress,addressLength,TNumberOfItems,4,0,0,4,0,0,0,0,0,1,1,0,427,""
892,F,STransportLayerAddress,address,,14,0,4,20,0,20,0,0,0,1,1,0,0,""
893,F,STransportLayerAddress,address,,0,0,0,1,0,0,0,0,0,2,0,0,0,""
896,F,SGUGroupID,plmnId,SPlmnId,17,0,0,12,0,3,0,0,0,1,1,0,450,""
897,F,SGUGroupID,mmeGroupId,TMmeGroupId,2,0,12,2,0,0,0,0,0,1,1,0,894,""
898,F,SGUGroupID,paddingMmeGroupId,,2,0,14,2,0,0,0,0,0,1,0,0,0,""
924,F,SUeCandidateData,crnti,TCrnti,4,0,0,4,0,0,0,0,0,1,1,0,921,""
925,F,SUeCandidateData,ueIndex,TUeIndex,2,0,4,2,0,0,0,0,0,1,1,0,922,""
926,F,SUeCandidateData,paddingUeIndex,,2,0,6,2,0,0,0,0,0,1,0,0,0,""
